"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\BuscarInspectorMantenimientoRequest.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\BuscarTecnicoMantenimientoRequest.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CambiarActivoAsociadoRequest.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CambiarPasswordRequest.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CatalogoDto.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CatalogoDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CatalogoDtoIEnumerableApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaRequest.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 4, 2, 11
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaResponse.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 2, 18
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaResponseListApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CiudadDto.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CiudadDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CiudadDtoPagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteEmpresaDto.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 2, 24
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteEmpresaDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoRequest.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 2, 19
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoResponse.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 4, 2, 25
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoResponsePagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteNaturalDto.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 2, 23
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteNaturalDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteSelectorResponse.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteSelectorResponseIEnumerableApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesEmpresaRequest.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 2, 18
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesEmpresaResponse.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesEmpresaResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesNaturalRequest.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesNaturalResponse.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 2, 20
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesNaturalResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ComponenteDisponibleResponse.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ComponenteDisponibleResponseListApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDto.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDtoPagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDtoPagedResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoRequest.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoResponse.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 2, 20
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoResponsePagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
